Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
300.0,0.2784707844257355,0.28318026661872864,50.0
300.0,0.16197994351387024,0.16921938955783844,150.0
300.0,0.1272968053817749,0.12879250943660736,250.0
300.0,0.11503398418426514,0.11750688403844833,350.0
300.0,0.10050445050001144,0.10560323297977448,450.0
300.0,0.09578095376491547,0.09896644204854965,550.0
300.0,0.08832131326198578,0.0904112160205841,650.0
300.0,0.08842229843139648,0.09293055534362793,750.0
300.0,0.08385709673166275,0.08586394786834717,850.0
300.0,0.08309535682201385,0.08581436425447464,950.0
300.0,0.07963991165161133,0.08112398535013199,1050.0
300.0,0.07701368629932404,0.07882894575595856,1150.0
300.0,0.07579696923494339,0.07806018739938736,1250.0
300.0,0.07280785590410233,0.07419412583112717,1350.0
300.0,0.06957404315471649,0.07196507602930069,1450.0
300.0,0.0689232274889946,0.07169608026742935,1550.0
