Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
300.0,0.3218243718147278,0.326676607131958,50.0
300.0,0.1847389042377472,0.18646453320980072,150.0
300.0,0.15549533069133759,0.15461274981498718,250.0
300.0,0.11561256647109985,0.12090408802032471,350.0
300.0,0.10889583081007004,0.1110793873667717,450.0
300.0,0.09398169815540314,0.09758926928043365,550.0
300.0,0.08656151592731476,0.08888232707977295,650.0
300.0,0.08780744671821594,0.08986322581768036,750.0
300.0,0.09080284088850021,0.08977397531270981,850.0
300.0,0.07992500066757202,0.07925289124250412,950.0
300.0,0.07929128408432007,0.08109452575445175,1050.0
300.0,0.07400981336832047,0.07441370189189911,1150.0
300.0,0.0755368024110794,0.07589288800954819,1250.0
300.0,0.06985733658075333,0.07169315218925476,1350.0
300.0,0.06867443025112152,0.07077335566282272,1450.0
300.0,0.0643906220793724,0.06662175804376602,1550.0
