Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
300.0,0.3270387351512909,0.33139508962631226,50.0
300.0,0.2772406339645386,0.28769829869270325,150.0
300.0,0.27216410636901855,0.27284547686576843,250.0
300.0,0.26459091901779175,0.26885706186294556,350.0
300.0,0.25710704922676086,0.25553104281425476,450.0
300.0,0.25176501274108887,0.26075682044029236,550.0
300.0,0.23965054750442505,0.24647082388401031,650.0
300.0,0.23423238098621368,0.24131815135478973,750.0
300.0,0.22957666218280792,0.2302798181772232,850.0
300.0,0.23387344181537628,0.24227724969387054,950.0
300.0,0.23315215110778809,0.24361468851566315,1050.0
300.0,0.22564318776130676,0.23597483336925507,1150.0
300.0,0.21788300573825836,0.22339247167110443,1250.0
300.0,0.20775653421878815,0.21332092583179474,1350.0
300.0,0.2228967696428299,0.22855409979820251,1450.0
300.0,0.2090388983488083,0.21959979832172394,1550.0
