Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
0.038675843307864326,0.16298927835310673,0.16834627510445613,50.0
0.04865935167405488,0.12397697793013984,0.13155004079809654,150.0
0.044099884842564975,0.1046099697558822,0.11099972292758921,250.0
0.030266011358050387,0.09612072247536067,0.09797584197698407,350.0
0.03939788055895805,0.08983855738774167,0.09467751595057776,450.0
0.041556661425625405,0.0857939119493263,0.08764554350325507,550.0
0.05221134437561289,0.08475093702031472,0.08605060363016069,650.0
0.035851415362527166,0.07542673829300595,0.07635494584197737,750.0
0.03579158464971461,0.07465377581236442,0.07498295405104947,850.0
0.03942078186321601,0.07318421023805623,0.07265128678869037,950.0
0.03874521826698457,0.06949024705241397,0.07018916441612666,1050.0
0.038381518384999806,0.06762521416444013,0.06888831385974047,1150.0
0.03635516307296727,0.067498269957452,0.06926907325494769,1250.0
0.03460410921790682,0.06600486144747873,0.06574956444885265,1350.0
0.03143125049561371,0.059329954030420254,0.06136671294690755,1450.0
0.03735023486843459,0.06394589877302183,0.06514331191232785,1550.0
