Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
0.09575027203724294,0.1978860181087034,0.19865865922521184,50.0
0.058248463059396585,0.14936776067320567,0.15992397166444922,150.0
0.03903717503525341,0.13231058174841476,0.13849009549837688,250.0
0.045101515979850355,0.11487351693509235,0.12172026954313467,350.0
0.03381442740454916,0.1069072139055347,0.11411340427502757,450.0
0.04207146528068176,0.09759840464411083,0.1026720779678203,550.0
0.06425020242772005,0.10432871013200659,0.0938946548864646,650.0
0.034209011118907826,0.0848284035702406,0.08779789169004955,750.0
0.04131213835228196,0.07962044649335379,0.08001392223222407,850.0
0.04008902072078943,0.07857409821290658,0.07900331362871202,950.0
0.045132512187949565,0.07611139438696773,0.08006984974483211,1050.0
0.03345781633646499,0.07093921180528699,0.07136538220380188,1150.0
0.039134357005236015,0.07515349328014347,0.07286250615113094,1250.0
0.036983537931294184,0.07167772477181329,0.07008036270031957,1350.0
0.036168568487176055,0.06507959761507795,0.06473517944555743,1450.0
0.032439038009799255,0.06231128278540187,0.06351122001121967,1550.0
