Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
300.0,0.26502078771591187,0.26967376470565796,50.0
300.0,0.13303932547569275,0.1371598243713379,150.0
300.0,0.10406263917684555,0.10618007928133011,250.0
300.0,0.0589556023478508,0.060268156230449677,350.0
300.0,0.04398610070347786,0.04487394541501999,450.0
300.0,0.033690113574266434,0.0353417694568634,550.0
300.0,0.032413940876722336,0.03361684828996658,650.0
300.0,0.030191024765372276,0.029080266132950783,750.0
300.0,0.026218511164188385,0.027468545362353325,850.0
300.0,0.026696577668190002,0.027085313573479652,950.0
300.0,0.024461129680275917,0.02514149248600006,1050.0
300.0,0.02252604253590107,0.02305404283106327,1150.0
300.0,0.021278340369462967,0.02180217020213604,1250.0
300.0,0.018735868856310844,0.020042404532432556,1350.0
300.0,0.021176623180508614,0.020978642627596855,1450.0
300.0,0.018308347091078758,0.01960589364171028,1550.0
