Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
300.0,0.2970883548259735,0.3066183626651764,50.0
300.0,0.14310088753700256,0.14857587218284607,150.0
300.0,0.10619913041591644,0.1116100326180458,250.0
300.0,0.06492311507463455,0.06430741399526596,350.0
300.0,0.041840288788080215,0.04257747158408165,450.0
300.0,0.03357105702161789,0.03488434851169586,550.0
300.0,0.039195433259010315,0.038543567061424255,650.0
300.0,0.03073645755648613,0.03121248446404934,750.0
300.0,0.023463118821382523,0.023835256695747375,850.0
300.0,0.024785717949271202,0.02447822131216526,950.0
300.0,0.022696183994412422,0.02217603102326393,1050.0
300.0,0.019421465694904327,0.018455853685736656,1150.0
300.0,0.022381428629159927,0.02261706255376339,1250.0
300.0,0.02099638804793358,0.020812535658478737,1350.0
300.0,0.016449563205242157,0.01714809238910675,1450.0
300.0,0.019745666533708572,0.020036209374666214,1550.0
