Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
300.0,0.27814266085624695,0.2801494598388672,50.0
300.0,0.17895112931728363,0.17779992520809174,150.0
300.0,0.10628680884838104,0.10966694355010986,250.0
300.0,0.061650581657886505,0.05855927988886833,350.0
300.0,0.0499572828412056,0.049437422305345535,450.0
300.0,0.0392242856323719,0.03947696462273598,550.0
300.0,0.03505248948931694,0.034526024013757706,650.0
300.0,0.030484624207019806,0.029083186760544777,750.0
300.0,0.032105814665555954,0.032540854066610336,850.0
300.0,0.028285428881645203,0.02769259549677372,950.0
300.0,0.024150824174284935,0.02444709651172161,1050.0
300.0,0.02458353340625763,0.025524716824293137,1150.0
300.0,0.020485492423176765,0.02104581519961357,1250.0
300.0,0.021080082282423973,0.021204231306910515,1350.0
300.0,0.022412637248635292,0.021880771964788437,1450.0
300.0,0.01960008405148983,0.019872859120368958,1550.0
