Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
0.059521955315960814,0.1848959990803355,0.18897797764308202,50.0
0.05164655783229449,0.1338506701127152,0.14263226064704848,150.0
0.03079683101957793,0.1293536336526879,0.13685322031493244,250.0
0.03598487700980514,0.11598682287976181,0.12185174400250283,350.0
0.03708725626176014,0.10272376293498486,0.10740541838011272,450.0
0.039761414069590745,0.09042668103551521,0.09250192240866167,550.0
0.054259879107584605,0.09220410674614485,0.09276257268784192,650.0
0.035366128214853264,0.08377243872337832,0.08256109829897477,750.0
0.03898448482695923,0.07867724230462043,0.08080243787761847,850.0
0.04070735730319484,0.07933049821067797,0.07969750052711247,950.0
0.04036204017706756,0.07638253993150454,0.07759006468224675,1050.0
0.033612351271029656,0.06986563828710794,0.07061495004266274,1150.0
0.029948940398025637,0.06367485228438344,0.06416166045977242,1250.0
0.03521335339951522,0.06523063732228035,0.06675161712046529,1350.0
0.03533977795910298,0.06428554970084556,0.06547334886489294,1450.0
0.0359973702859235,0.06286497826399247,0.06456557016771987,1550.0
