Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
300.0,0.29357749223709106,0.29895108938217163,50.0
300.0,0.1751515120267868,0.1807134449481964,150.0
300.0,0.14570116996765137,0.1478138118982315,250.0
300.0,0.1124102920293808,0.11851361393928528,350.0
300.0,0.09997428953647614,0.10478875041007996,450.0
300.0,0.09197165817022324,0.0969003438949585,550.0
300.0,0.08940163999795914,0.09158238768577576,650.0
300.0,0.08454912155866623,0.0872398391366005,750.0
300.0,0.07810118794441223,0.07893296331167221,850.0
300.0,0.07773451507091522,0.07984340935945511,950.0
300.0,0.0741467997431755,0.07500187307596207,1050.0
300.0,0.07342436164617538,0.07535792887210846,1150.0
300.0,0.06973164528608322,0.07265212386846542,1250.0
300.0,0.06803088635206223,0.06941859424114227,1350.0
300.0,0.06604207307100296,0.06804186850786209,1450.0
300.0,0.06732196360826492,0.06681974232196808,1550.0
