Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
0.14027367532253265,0.4204649031162262,0.4476924240589142,1000.0
0.12879662215709686,0.3146505653858185,0.304322749376297,2000.0
0.09784938395023346,0.2462197244167328,0.24073375761508942,3000.0
0.09936591982841492,0.21415777504444122,0.177204892039299,4000.0
0.08911353349685669,0.2051582932472229,0.16307981312274933,5000.0
0.08500213176012039,0.19316205382347107,0.15828891098499298,6000.0
0.07205416262149811,0.16762268543243408,0.13853564858436584,7000.0
0.05488685518503189,0.14869146049022675,0.1363547295331955,8000.0
0.051670726388692856,0.1391693651676178,0.1159815862774849,9000.0
0.056006066501140594,0.1410137563943863,0.12123270332813263,10000.0
