Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
300.0,0.3456398844718933,0.33221882581710815,1000.0
300.0,0.2310105413198471,0.20274290442466736,2000.0
300.0,0.18103991448879242,0.1682649701833725,3000.0
300.0,0.15310530364513397,0.14290854334831238,4000.0
300.0,0.16397465765476227,0.13608829140663147,5000.0
300.0,0.13807281851768494,0.12420948803424835,6000.0
300.0,0.12836851179599762,0.11820268839597702,7000.0
300.0,0.12206315249204636,0.10849228572845459,8000.0
300.0,0.11967120319604874,0.1001710295677185,9000.0
300.0,0.10737991333007812,0.0935491994023323,10000.0
