Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
0.15630072355270386,0.42875322699546814,0.4600624442100525,1000.0
0.10811864584684372,0.30222707986831665,0.29898518323898315,2000.0
0.09949292242527008,0.2221069633960724,0.21782352030277252,3000.0
0.09676773846149445,0.20752538740634918,0.1838708221912384,4000.0
0.09738870710134506,0.1830757111310959,0.15220320224761963,5000.0
0.08481276035308838,0.17330999672412872,0.14332935214042664,6000.0
0.07909936457872391,0.16740649938583374,0.12815815210342407,7000.0
0.04409431293606758,0.1491941511631012,0.11893288791179657,8000.0
0.0603603720664978,0.14191535115242004,0.11292967200279236,9000.0
0.0642017051577568,0.14073114097118378,0.11384066194295883,10000.0
