Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
300.0,0.44044241309165955,0.4607505202293396,1000.0
300.0,0.33514997363090515,0.32643917202949524,2000.0
300.0,0.30995288491249084,0.303005188703537,3000.0
300.0,0.25922146439552307,0.24152711033821106,4000.0
300.0,0.24041198194026947,0.2275598645210266,5000.0
300.0,0.21691833436489105,0.2044294774532318,6000.0
300.0,0.20231269299983978,0.20134861767292023,7000.0
300.0,0.19071930646896362,0.17296184599399567,8000.0
300.0,0.19647817313671112,0.17120584845542908,9000.0
300.0,0.17151585221290588,0.1591479629278183,10000.0
