Metric/train_mean,Metric/val_mean,Metric/test_mean,num_train_data
300.0,0.40174219012260437,0.3978756368160248,1000.0
300.0,0.29606252908706665,0.24703706800937653,2000.0
300.0,0.2203322798013687,0.20495039224624634,3000.0
300.0,0.1982153058052063,0.16506889462471008,4000.0
300.0,0.18166039884090424,0.1523759961128235,5000.0
300.0,0.16044248640537262,0.12366069853305817,6000.0
300.0,0.14888188242912292,0.12145961821079254,7000.0
300.0,0.14563366770744324,0.1094362735748291,8000.0
300.0,0.13067211210727692,0.10450944304466248,9000.0
300.0,0.12391719222068787,0.10017362236976624,10000.0
